"date","hour","kW_hourly","Electricity.Facility..kW..Hourly.","Gas.Facility..kW..Hourly.","Heating.Electricity..kW..Hourly.","Heating.Gas..kW..Hourly.","Cooling.Electricity..kW..Hourly.","HVACFan.Fans.Electricity..kW..Hourly.","Electricity.HVAC..kW..Hourly.","Fans.Electricity..kW..Hourly.","General.InteriorLights.Electricity..kW..Hourly.","General.ExteriorLights.Electricity..kW..Hourly.","Appl.InteriorEquipment.Electricity..kW..Hourly.","Misc.InteriorEquipment.Electricity..kW..Hourly.","Water.Heater.WaterSystems.Electricity..kW..Hourly.","total"
2013-08-18,23,NA,1.10527997518,0.0259076220912,0,0,0.186314925979,0.0601628992808,0.24647782526,0.0601628992808,0.294872117046,0.0635232750319,0.0723723500616,0.376131048066,0.035259359718,2.5264642969953
2013-08-19,23,NA,1.53566776214,0.0259076220912,0,0,0.336984828,0.106577334926,0.443562162925,0.106577334926,0.294872117046,0.0635232750319,0.162581133687,0.376131048066,0.178354025388,3.6307386442271
2013-08-20,23,NA,1.51367293255,0.0259076220912,0,0,0.320690121871,0.100546702239,0.42123682411,0.100546702239,0.294872117046,0.0635232750319,0.162581133687,0.376131048066,0.178684534609,3.5583930135401
2013-08-21,23,NA,1.48572051115,0.0259076220912,0,0,0.323254566868,0.100614264719,0.423868831588,0.100614264719,0.294872117046,0.0635232750319,0.147046288352,0.376131048066,0.163634951068,3.5051877406991
2013-08-22,23,NA,1.33626945858,0.0259076220912,0,0,0.206281774455,0.0678125386036,0.274094313059,0.0678125386036,0.294872117046,0.0635232750319,0.147046288352,0.376131048066,0.163958417021,3.0237093909093
2013-08-23,23,NA,1.39663340414,0.0259076220912,0,0,0.253353646681,0.0807635508632,0.334117197544,0.0807635508632,0.294872117046,0.0635232750319,0.147046288352,0.376131048066,0.164299478102,3.2174111787805
2013-08-24,23,NA,1.47727016292,0.0259076220912,0,0,0.31475786823,0.0996391275305,0.414396995761,0.0996391275305,0.294872117046,0.0635232750319,0.147046288352,0.376131048066,0.164656438665,3.4778400712241
2013-08-25,23,NA,1.32270177955,0.0259076220912,0,0,0.195166492979,0.0642904585015,0.259456951481,0.0642904585015,0.294872117046,0.0635232750319,0.147046288352,0.376131048066,0.165028099576,2.9784145911761
2013-08-26,23,NA,1.42015475553,0.0259076220912,0,0,0.245801428736,0.0795597672669,0.325361196003,0.0795597672669,0.294872117046,0.0635232750319,0.162581133687,0.376131048066,0.181041985694,3.2544940964189
2013-08-27,23,NA,1.52098690892,0.0259076220912,0,0,0.323339058523,0.102399414385,0.425738472907,0.102399414385,0.294872117046,0.0635232750319,0.162581133687,0.376131048066,0.181496862185,3.5793753272271
2013-08-28,23,NA,1.54772154523,0.0259076220912,0,0,0.367825228113,0.115440916361,0.483266144474,0.115440916361,0.294872117046,0.0635232750319,0.147046288352,0.376131048066,0.166238672266,3.7034137733921
2013-08-29,23,NA,1.58467905667,0.0259076220912,0,0,0.39729858262,0.122490910925,0.519789493545,0.122490910925,0.294872117046,0.0635232750319,0.147046288352,0.376131048066,0.166672834632,3.8209021399041
2013-08-30,23,NA,1.58685540402,0.0259076220912,0,0,0.397736201943,0.123780160368,0.521516362311,0.123780160368,0.294872117046,0.0635232750319,0.147046288352,0.376131048066,0.167122313215,3.8282709528121
2013-08-31,23,NA,1.54056257033,0.0259076220912,0,0,0.361687248117,0.113073029238,0.474760277355,0.113073029238,0.294872117046,0.0635232750319,0.147046288352,0.376131048066,0.167585564476,3.6782220693411
2013-09-01,23,NA,1.59050287623,0.0260247186883,0,0,0.394036932259,0.122610656085,0.516647588345,0.122610656085,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.168064708409,3.8296447155759
